﻿"Site name","URL","Teams","Channel sites","IBMode","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing"
"AA Group","https://firstfinancialptyltd.sharepoint.com/sites/AAGroup","True",,"Open","0.00",,"","Team site","4/7/2025 12:00:00 AM","9/23/2019 5:26:30 AM","Rebecca Ruck","25600","0.00","True","0","0","0","23",,"On"
"Accordius","https://firstfinancialptyltd.sharepoint.com/sites/Accordius","False",,"Open","61.07",,"","Team site","7/5/2026 12:00:00 AM","11/7/2024 3:59:32 AM","FIRST FINANCIAL PTY LTD","25600","0.24","True","509","36","7","73693",,"On"
"Accounts APA Advice","https://firstfinancialptyltd.sharepoint.com/sites/AccountsAPAAdvice","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"11/13/2024 5:19:36 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Admin & Ops","https://firstfinancialptyltd.sharepoint.com/sites/admin-ops","False",,"Open","146.87",,"","Team site (no Microsoft 365 group)","7/5/2026 12:00:00 AM","11/13/2024 2:14:36 AM","FIRST FINANCIAL PTY LTD","25600","0.57","True","7154","269","12","49039",,"On"
"Admin APA Advice","https://firstfinancialptyltd.sharepoint.com/sites/AdminAPAAdvice","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:16 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","2",,"Off"
"Advice & Reward Review","https://firstfinancialptyltd.sharepoint.com/sites/AdviceRewardReview","False",,"Open","0.01","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"11/13/2024 5:20:35 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","4",,"Off"
"Advice Hub","https://firstfinancialptyltd.sharepoint.com/sites/advice-hub","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)",,"12/4/2024 4:35:57 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","4",,"Off"
"Advice Hub","https://firstfinancialptyltd.sharepoint.com/sites/advice-hub2","False",,"Open","0.00",,"","Team site","5/1/2025 12:00:00 AM","12/8/2024 3:20:00 AM","Advice Hub Owners","25600","0.00","True","0","0","0","5",,"On"
"Adviser Catch Up Intranet Access","https://firstfinancialptyltd.sharepoint.com/sites/Adviser-catch-ups-intranet-access","False",,"Open","0.00",,"","Team site","7/24/2024 12:00:00 AM","8/22/2022 11:45:00 PM","Adviser Catch Up Intranet Access Owners","25600","0.00","True","0","0","0","8",,"On"
"Advisors","https://firstfinancialptyltd.sharepoint.com/sites/advisorteam","False",,"Open","0.00","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)","6/16/2026 12:00:00 AM","11/13/2024 5:16:18 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","1","1","2",,"Off"
"AFG Management","https://firstfinancialptyltd.sharepoint.com/sites/PracticeManagement","False",,"Open","87.93",,"","Team site (no Microsoft 365 group)","7/3/2026 12:00:00 AM","11/13/2024 2:14:39 AM","FIRST FINANCIAL PTY LTD","25600","0.34","True","7","8","4","100279",,"On"
"AFG Management","https://firstfinancialptyltd.sharepoint.com/sites/AFGManagement","False",,"Open","0.68","FIRST FINANCIAL PTY LTD","","Team site (no Microsoft 365 group)","2/22/2026 12:00:00 AM","11/13/2024 5:20:53 AM","FIRST FINANCIAL PTY LTD","25600","0.00","False","0","0","0","617",,"Off"
"AFG Management","https://firstfinancialptyltd.sharepoint.com/sites/AFGManagement9","True",,"Open","0.01",,"","Team site","5/21/2025 12:00:00 AM","12/12/2024 9:57:49 PM","AFG Management Owners","25600","0.00","True","0","0","0","6",,"On"
